theta_deg,CT_exp,CQ_exp
0,0,0.000108
1,0.00028,0.000111
2,0.000873,0.000125
4,0.00248,0.000191
6,0.00442,0.000316
8,0.0065,0.000494
10,0.00847,0.000691
12,0.0099,0.000878
