theta_deg,CT_exp,CQ_exp
0,0,0.000185
2,0.00102,0.000206
4,0.00298,0.0003
6,0.00548,0.000474
8,0.00833,0.000735
10,0.01125,0.001048
12,0.0137,0.001357
