theta_deg,CT_exp,CQ_exp
0,0,0.000268
2,0.001042,0.0003
3,0.00214,0.000338
4,0.00338,0.00041
5,0.00473,0.000499
6,0.00645,0.00062
7,0.00792,0.000743
8,0.00981,0.00092
9,0.01182,0.001162
10,0.01382,0.001395
11,0.01596,0.00171
12,0.01745,0.00191
