theta_deg,CT_exp,CQ_exp
0,0.0000,0.00012
2,0.0007,0.00015
4,0.0019,0.00024
6,0.0036,0.00042
8,0.0058,0.00071
10,0.0085,0.00112
12,0.0117,0.00168
14,0.0154,0.00240
16,0.0196,0.00328
18,0.0243,0.00432
20,0.0295,0.00552
